Name^Type^URL to description
^^
Africana Studies^major,minor^https://www.gettysburg.edu/academic-programs/africana-studies/programs/
Anthropology^major,minor^https://www.gettysburg.edu/academic-programs/anthropology/programs/
Art History^major,minor^https://www.gettysburg.edu/academic-programs/art-and-art-history/programs/
Studio Art^major,minor^https://www.gettysburg.edu/academic-programs/art-and-art-history/programs/
Biochemistry & Molecular Biology^major^https://www.gettysburg.edu/academic-programs/biochemistry-molecular-biology/programs/
Biology^major,minor^https://www.gettysburg.edu/academic-programs/biology/programs/
Organization and Management Studies^major^https://www.gettysburg.edu/academic-programs/management/programs/
Business^minor^https://www.gettysburg.edu/academic-programs/management/programs/
Chemistry^major,minor^https://www.gettysburg.edu/academic-programs/chemistry/programs/
Cinema & Media Studies^major,minor^https://www.gettysburg.edu/academic-programs/cinema-media-studies/programs/
Civil War Era Studies^minor^https://www.gettysburg.edu/academic-programs/civil-war-era-studies/programs/
Classics^major^https://www.gettysburg.edu/academic-programs/classics/programs/
Greek^minor^https://www.gettysburg.edu/academic-programs/classics/programs/greek-minor
Latin^minor^https://www.gettysburg.edu/academic-programs/classics/programs/latin-minor
Computer Science^major,minor^https://www.gettysburg.edu/academic-programs/computer-science/programs/
East Asian Studies - Chinese Track^major,minor^https://www.gettysburg.edu/academic-programs/east-asian-studies/programs/chinese-track-requirements
East Asian Studies – Japanese Track^major,minor^https://www.gettysburg.edu/academic-programs/east-asian-studies/programs/japanese-track-requirements
Economics^major,minor^https://www.gettysburg.edu/academic-programs/economics/programs/major-minor
Mathematical Economics^major^https://www.gettysburg.edu/academic-programs/economics/programs/mathematical-economics.dot
Teacher Education^program^https://www.gettysburg.edu/academic-programs/education/programs/
Educational Studies^minor^https://www.gettysburg.edu/academic-programs/education/programs/minor-in-educational-studies.dot
Engineering - Dual Degree^program^https://www.gettysburg.edu/academic-programs/physics/programs/engineering-dual-degree
English^major,minor^https://www.gettysburg.edu/academic-programs/english/programs/
English with a Writing Concentration^major^https://www.gettysburg.edu/academic-programs/english/programs/
Writing^minor^https://www.gettysburg.edu/academic-programs/english/programs/writing
Environmental Studies^major,minor^https://www.gettysburg.edu/academic-programs/environmental-studies/programs/
French^major,minor^https://www.gettysburg.edu/academic-programs/french/programs/
German Studies^major,minor^https://www.gettysburg.edu/academic-programs/german-studies/programs/
Globalization Studies^major^https://www.gettysburg.edu/academic-programs/globalization-studies/programs/
Health Science^major^https://www.gettysburg.edu/academic-programs/health-sciences/programs/
History^major,minor^https://www.gettysburg.edu/academic-programs/history/programs/
Individualized Major^major^https://www.gettysburg.edu/academic-programs/interdisciplinary-studies/programs/individualized-major/
Peace & Justice Studies^minor^https://www.gettysburg.edu/academic-programs/interdisciplinary-studies/programs/peace-and-justice-studies/
Middle East & Islamic Studies^minor^https://www.gettysburg.edu/academic-programs/interdisciplinary-studies/programs/middle-east-and-islamic-studies/
Public History^minor^https://www.gettysburg.edu/academic-programs/interdisciplinary-studies/programs/public-history/index.dot
Arabic Language Instruction^minor^https://www.gettysburg.edu/academic-programs/interdisciplinary-studies/programs/arabic-language/
International Affairs^dual major^https://www.gettysburg.edu/academic-programs/international-affairs/programs/
Italian Studies^major,minor^https://www.gettysburg.edu/academic-programs/italian-studies/programs/
Judaic Studies^minor^https://www.gettysburg.edu/academic-programs/religious-studies/programs/judaic-studies/
Latin American, Caribbean, and Latino Studies/Spanish^major^https://www.gettysburg.edu/academic-programs/latin-american-caribbean-latino-studies/programs/major
Latin American, Caribbean, and Latino Studies^minor^https://www.gettysburg.edu/academic-programs/latin-american-caribbean-latino-studies/programs/minor
Mathematics^major,minor^https://www.gettysburg.edu/academic-programs/mathematics/programs/
Music^major,minor^https://www.gettysburg.edu/academic-programs/sunderman-conservatory/programs/major-minor.dot
Bachelor of Music in Performance^major^https://www.gettysburg.edu/academic-programs/sunderman-conservatory/programs/major-minor.dot
Bachelor of Music Education^major^https://www.gettysburg.edu/academic-programs/sunderman-conservatory/programs/major-minor.dot
Neuroscience^minor^https://www.gettysburg.edu/academic-programs/psychology/programs/neuroscience.dot
Philosophy^major,minor^https://www.gettysburg.edu/academic-programs/philosophy/programs/
Physics^major,minor^https://www.gettysburg.edu/academic-programs/physics/programs/
Political Science^major,minor^https://www.gettysburg.edu/academic-programs/political-science/programs/
Pre-Health Professions^program^https://www.gettysburg.edu/academic-programs/pre-health/
Pre-Law Advising^program^https://www.gettysburg.edu/academic-programs/curriculum/catalog/programs-of-study/pre-law
Psychology^major^https://www.gettysburg.edu/academic-programs/psychology/programs/
Public Policy^major^https://www.gettysburg.edu/academic-programs/public-policy/programs/
Religious Studies^major,minor^https://www.gettysburg.edu/academic-programs/religious-studies/programs/
Reserve Officers’ Training Corps (ROTC)^program^https://www.gettysburg.edu/academic-programs/curriculum/catalog/programs-of-study/rotc
Sociology^major,minor^https://www.gettysburg.edu/academic-programs/sociology/programs/
Spanish^major,minor^https://www.gettysburg.edu/academic-programs/spanish/programs/
Theatre Arts^major,minor^https://www.gettysburg.edu/academic-programs/theatre-arts/programs/
Women, Gender, and Sexuality Studies^major,minor^https://www.gettysburg.edu/academic-programs/women-gender-sexuality/programs/
